id,make,model,year,engine_cc,mileage_km,city,body_type,transmission,fuel_type,price_pkr,color,registered,num_owners
2,Kia,Cultus,2020,800.0,150175.0,Peshawar,Hatchback,Automatic,Petrol,576692,Silver,t,4
3,Mitsubishi,Alto,2019,660.0,195097.0,Karachi,Sedan,Automatic,Diesel,2811518,White,t,3
5,Mitsubishi,Civic,2019,660.0,157929.0,Karachi,Sedan,Automatic,Petrol,3958658,Black,t,4
6,Daihatsu,Lancer,2012,1500.0,145372.0,Peshawar,Sedan,Manual,Hybrid,1024049,White,t,3
7,Hyundai,Sportage,2017,1000.0,14559.0,Lahore,Hatchback,Manual,Petrol,1853736,Red,t,4
8,Kia,Corolla,2014,800.0,196520.0,Karachi,Sedan,Automatic,Cng,2428544,Green,t,4
9,Suzuki,Lancer,2017,1600.0,114849.0,Lahore,Hatchback,Manual,Hybrid,789569,Black,t,1
10,Daihatsu,Sportage,2022,1000.0,52796.0,Karachi,Crossover,Automatic,Petrol,1401096,Silver,t,4
16,Mitsubishi,Alto,2019,1300.0,84095.0,Faisalabad,Sedan,Manual,Petrol,1579664,Grey,t,2
18,Honda,Civic,2014,1600.0,153264.0,Multan,Crossover,Automatic,Petrol,3277443,Blue,t,3
19,Honda,Cultus,2011,1600.0,110117.0,Lahore,Sedan,Automatic,Hybrid,4326611,Red,t,1
20,Toyota,Cultus,2014,2000.0,142375.0,Lahore,Sedan,Manual,Hybrid,1401489,Black,t,2
22,Suzuki,City,2015,2000.0,72059.0,Peshawar,Crossover,Manual,Hybrid,2089625,Brown,t,1
27,Kia,Sportage,2017,1600.0,173824.0,Karachi,Crossover,Automatic,Petrol,1510406,Black,t,1
28,Daihatsu,Alto,2017,800.0,176526.0,Peshawar,Pickup,Manual,Hybrid,1089614,Silver,t,2
29,Toyota,Lancer,2021,800.0,160243.0,Karachi,Hatchback,Automatic,Cng,3446798,Silver,f,1
30,Honda,City,2012,1300.0,53486.0,Multan,Hatchback,Automatic,Cng,4709495,Silver,t,2
32,Honda,Lancer,2015,1600.0,56838.0,Quetta,Mpv,Manual,Hybrid,1362389,Brown,t,1
33,Suzuki,Alto,2008,2000.0,69590.0,Karachi,Crossover,Manual,Petrol,4590479,Green,t,4
38,Suzuki,Cultus,2009,2000.0,172254.0,Lahore,Mpv,Automatic,Cng,698793,Silver,t,3
41,Honda,City,2011,1000.0,121717.0,Quetta,Sedan,Manual,Petrol,2300821,Green,t,2
43,Kia,Sportage,2005,1600.0,71748.0,Quetta,Hatchback,Manual,Petrol,3137697,Black,t,1
44,Hyundai,Corolla,2020,1500.0,63580.0,Faisalabad,Crossover,Automatic,Diesel,1309405,Brown,f,4
45,Kia,Tucson,2008,1300.0,164713.0,Lahore,Pickup,Automatic,Petrol,1756347,Grey,t,3
48,Honda,Alto,2016,1300.0,203069.0,Islamabad,Mpv,Automatic,Diesel,1287412,Blue,t,3
49,Toyota,Alto,2007,1300.0,123117.0,Quetta,Crossover,Manual,Diesel,3283057,White,t,2
50,Daihatsu,Mira,2013,2400.0,110365.0,Lahore,Suv,Manual,Hybrid,987954,Blue,t,2
51,Toyota,Alto,2015,1800.0,183797.0,Quetta,Hatchback,Automatic,Cng,1343477,Green,t,4
52,Hyundai,Tucson,2011,2400.0,114600.0,Multan,Crossover,Manual,Hybrid,1604021,Silver,t,2
53,Honda,Tucson,2019,660.0,11322.0,Lahore,Mpv,Automatic,Petrol,1218652,Grey,t,2
54,Toyota,Mira,2012,1300.0,114997.0,Islamabad,Hatchback,Manual,Cng,1075517,Black,t,1
56,Daihatsu,Civic,2023,1300.0,150719.0,Peshawar,Hatchback,Manual,Hybrid,1129974,Blue,t,4
57,Toyota,Alto,2020,660.0,33244.0,Peshawar,Sedan,Manual,Hybrid,1695243,Silver,t,2
58,Hyundai,Tucson,2015,2400.0,7218.0,Lahore,Hatchback,Automatic,Diesel,4646590,Grey,f,3
59,Honda,Corolla,2010,1600.0,174232.0,Karachi,Suv,Manual,Petrol,4877089,Brown,t,4
61,Toyota,Lancer,2022,1300.0,61586.0,Multan,Hatchback,Automatic,Hybrid,3976600,Blue,t,2
62,Kia,Sportage,2009,1300.0,38806.0,Faisalabad,Crossover,Automatic,Diesel,646867,Red,t,3
63,Toyota,Corolla,2007,1600.0,179705.0,Multan,Mpv,Automatic,Diesel,541883,Brown,t,2
65,Mitsubishi,City,2012,2400.0,25207.0,Lahore,Suv,Manual,Petrol,2219995,Grey,t,4
66,Kia,Sportage,2006,660.0,119942.0,Multan,Pickup,Manual,Diesel,1876012,Grey,f,4
69,Kia,Tucson,2019,1600.0,106964.0,Islamabad,Suv,Manual,Diesel,1780131,Grey,t,2
64,Daihatsu,City,2008,1500.0,176976.0,Nan,Pickup,Automatic,Cng,1208812,White,t,4
67,Toyota,Lancer,2018,1600.0,112941.0,Nan,Suv,Automatic,Hybrid,1278407,Silver,t,3
1,Suzuki,Mira,2013,660.0,145860.0,Karachi,Pickup,Manual,Petrol,4419297,Black,t,4
11,Toyota,Civic,2021,660.0,106904.0,Multan,Mpv,Manual,Cng,3047820,Blue,t,3
14,Hyundai,Civic,2016,800.0,176931.0,Faisalabad,Crossover,Manual,Cng,3178040,Brown,t,1
21,Kia,Corolla,2006,2000.0,132183.0,Karachi,Suv,Manual,Cng,3627945,Green,t,3
42,Toyota,Tucson,2017,1000.0,178844.0,Islamabad,Sedan,Manual,Cng,864502,Green,t,4
47,Toyota,Corolla,2018,800.0,132080.0,Multan,Sedan,Automatic,Cng,2936804,Red,t,2
70,Daihatsu,Cultus,2010,800.0,34979.0,Peshawar,Mpv,Automatic,Diesel,1881546,White,t,3
71,Hyundai,Corolla,2007,2400.0,109042.0,Peshawar,Suv,Automatic,Petrol,1405700,White,t,1
72,Honda,City,2017,800.0,146533.0,Islamabad,Pickup,Automatic,Diesel,630692,Black,t,1
74,Hyundai,Mira,2012,2400.0,34947.0,Lahore,Mpv,Manual,Diesel,564219,Silver,t,3
76,Suzuki,Mira,2023,1300.0,160768.0,Karachi,Hatchback,Manual,Hybrid,1879867,Red,t,1
77,Kia,Tucson,2023,800.0,55310.0,Faisalabad,Pickup,Manual,Hybrid,4253697,Brown,t,4
78,Daihatsu,Sportage,2021,800.0,150382.0,Peshawar,Pickup,Manual,Cng,1891223,Red,t,2
79,Suzuki,Mira,2021,1300.0,180424.0,Karachi,Suv,Manual,Cng,4489545,White,t,4
83,Kia,Cultus,2007,1300.0,75349.0,Peshawar,Sedan,Automatic,Cng,4584408,Silver,t,2
85,Kia,Alto,2013,1800.0,123245.0,Lahore,Crossover,Automatic,Hybrid,1890886,Silver,t,2
86,Honda,Lancer,2018,1800.0,68157.0,Lahore,Sedan,Manual,Diesel,3152358,Red,t,3
87,Suzuki,Tucson,2017,2000.0,149703.0,Faisalabad,Crossover,Manual,Cng,2723082,Red,t,3
89,Daihatsu,Civic,2018,1300.0,62505.0,Karachi,Pickup,Manual,Diesel,3781218,Brown,t,4
90,Honda,Tucson,2007,2000.0,51346.0,Multan,Crossover,Automatic,Hybrid,4583637,Grey,t,4
91,Suzuki,Cultus,2018,1300.0,33561.0,Lahore,Mpv,Manual,Diesel,1194142,Brown,t,2
93,Hyundai,City,2017,1300.0,68840.0,Multan,Hatchback,Automatic,Cng,2614010,Black,t,1
94,Daihatsu,City,2005,660.0,74817.0,Karachi,Hatchback,Automatic,Hybrid,4930427,Black,t,1
95,Suzuki,Corolla,2018,1800.0,115222.0,Multan,Hatchback,Automatic,Petrol,4636557,Blue,t,1
96,Kia,City,2018,800.0,169827.0,Peshawar,Sedan,Automatic,Petrol,2157130,Red,t,3
97,Hyundai,Sportage,2005,1600.0,148083.0,Peshawar,Sedan,Automatic,Diesel,1091064,Brown,t,1
99,Hyundai,Mira,2007,2000.0,166281.0,Islamabad,Sedan,Manual,Cng,2126401,Red,t,3
101,Daihatsu,Alto,2019,800.0,46049.0,Karachi,Suv,Manual,Diesel,1369832,Green,f,3
102,Hyundai,Mira,2008,1800.0,114989.0,Lahore,Crossover,Automatic,Petrol,3658225,Black,t,2
103,Kia,Cultus,2010,1800.0,26157.0,Islamabad,Sedan,Automatic,Petrol,3314936,Grey,t,1
104,Mitsubishi,Civic,2014,800.0,156528.0,Quetta,Hatchback,Automatic,Diesel,3795772,Blue,t,4
106,Mitsubishi,Corolla,2008,1000.0,71672.0,Islamabad,Sedan,Automatic,Cng,2715877,Grey,t,1
107,Daihatsu,Lancer,2016,1600.0,146645.0,Faisalabad,Mpv,Manual,Cng,2855156,Brown,t,3
108,Kia,Corolla,2022,800.0,55913.0,Karachi,Mpv,Manual,Petrol,2278129,Blue,t,1
109,Toyota,Alto,2013,1500.0,91638.0,Multan,Mpv,Manual,Diesel,4388925,Grey,t,4
110,Mitsubishi,Mira,2019,800.0,202176.0,Quetta,Suv,Manual,Cng,3881593,White,t,3
114,Kia,Cultus,2007,2400.0,134051.0,Islamabad,Mpv,Automatic,Hybrid,3548734,Silver,t,4
116,Mitsubishi,Alto,2022,1300.0,59751.0,Lahore,Hatchback,Automatic,Diesel,3838414,Silver,t,2
117,Honda,Lancer,2006,1500.0,79363.0,Islamabad,Crossover,Automatic,Hybrid,3309181,Blue,t,1
120,Suzuki,Mira,2014,800.0,172207.0,Peshawar,Suv,Automatic,Hybrid,1838985,Silver,t,3
121,Suzuki,Cultus,2014,1000.0,124648.0,Karachi,Crossover,Automatic,Petrol,954983,Grey,t,3
123,Toyota,City,2008,1000.0,131877.0,Quetta,Mpv,Automatic,Diesel,2752094,Blue,t,1
124,Hyundai,Lancer,2017,660.0,129161.0,Islamabad,Pickup,Automatic,Cng,3006664,White,f,4
126,Mitsubishi,Lancer,2014,660.0,190022.0,Multan,Hatchback,Automatic,Cng,1353274,Black,t,2
