id,make,model,year,engine_cc,mileage_km,city,body_type,transmission,fuel_type,price_pkr,color,registered,num_owners
2,Mitsubishi,Lancer,2022,1600,189626,Faisalabad,Sedan,Manual,Hybrid,2407186,Blue,t,3
3,Suzuki,Alto,2007,1500,203861,Multan,Pickup,Automatic,Diesel,1576051,Brown,t,1
5,Daihatsu,Mira,2017,2000,58871,Faisalabad,Sedan,Automatic,Petrol,976863,Grey,t,3
7,Kia,Mira,2022,1000,177504,Islamabad,Pickup,Automatic,Petrol,1230734,Red,t,1
10,Mitsubishi,Lancer,2020,1800,123902,Peshawar,MPV,Manual,Diesel,4370530,Black,t,2
11,Hyundai,Civic,2022,1300,21239,Faisalabad,Sedan,Automatic,Diesel,1581729,Red,t,3
13,Toyota,Civic,2023,800,43066,Karachi,Hatchback,Automatic,Hybrid,2498531,Red,t,4
14,Hyundai,Cultus,2023,1800,166728,Lahore,Sedan,Manual,Hybrid,743852,Silver,t,1
15,Suzuki,Cultus,2018,2400,72006,Multan,Pickup,Manual,Petrol,3497247,Green,t,2
16,Hyundai,Corolla,2022,1800,144633,Lahore,Sedan,Manual,Hybrid,3820313,Black,t,4
18,Mitsubishi,Sportage,2019,660,42420,Faisalabad,Sedan,Manual,Petrol,2666129,Green,t,4
21,Hyundai,Mira,2010,660,139204,Peshawar,SUV,Manual,Petrol,2016343,Brown,t,3
22,Hyundai,Sportage,2023,2400,204905,Islamabad,Crossover,Manual,CNG,3373856,Green,f,1
23,Hyundai,Sportage,2007,1800,147396,Lahore,Pickup,Automatic,Hybrid,4812027,Brown,t,3
24,Mitsubishi,Cultus,2019,1000,15937,Peshawar,SUV,Automatic,CNG,3029147,Blue,t,4
25,Toyota,Sportage,2005,660,24809,Peshawar,Pickup,Manual,CNG,4787759,Brown,t,4
26,Suzuki,Corolla,2011,1600,182270,Karachi,MPV,Manual,CNG,2328040,White,t,1
28,Daihatsu,Alto,2012,1000,115960,Lahore,Crossover,Manual,Petrol,2124423,Brown,f,3
29,Kia,Mira,2021,1600,94741,Quetta,SUV,Automatic,Petrol,3190564,Black,t,3
30,Hyundai,City,2011,1500,147669,Quetta,MPV,Automatic,CNG,2358963,Red,t,2
31,Kia,Civic,2012,1300,118424,Lahore,Crossover,Automatic,Petrol,2618857,Silver,t,4
34,Hyundai,Civic,2017,2000,24376,Multan,Crossover,Automatic,Diesel,3463569,White,t,1
35,Kia,Alto,2006,660,157891,Peshawar,SUV,Automatic,CNG,1766478,Black,f,3
37,Daihatsu,Cultus,2005,1800,44053,Islamabad,Pickup,Manual,Petrol,4550459,Grey,t,2
38,Toyota,Sportage,2016,1600,153830,Karachi,Pickup,Manual,Hybrid,4798976,White,f,1
39,Honda,Corolla,2019,1500,160441,Multan,SUV,Manual,Diesel,4534080,Grey,t,3
40,Suzuki,Mira,2019,1500,62675,Lahore,Sedan,Automatic,Petrol,3453187,Green,t,3
41,Mitsubishi,Alto,2015,1800,176753,Lahore,SUV,Manual,Petrol,1249436,Green,t,3
42,Hyundai,Cultus,2011,1500,142729,Lahore,Pickup,Manual,Petrol,2588638,White,t,2
43,Hyundai,City,2015,1800,172602,Islamabad,SUV,Manual,Diesel,2953655,White,t,4
45,Daihatsu,Tucson,2006,1300,77966,Multan,Crossover,Automatic,Diesel,3417321,Red,t,4
46,Mitsubishi,Lancer,2020,1500,130526,Islamabad,MPV,Automatic,CNG,4404402,Blue,t,2
47,Suzuki,City,2006,1000,185121,Quetta,MPV,Automatic,Diesel,2933270,Blue,t,2
48,Daihatsu,Tucson,2022,1000,53134,Peshawar,SUV,Automatic,Petrol,3586600,Brown,t,4
51,Hyundai,Mira,2020,800,60243,Multan,MPV,Manual,Petrol,2489100,Red,t,4
52,Suzuki,City,2005,800,187061,Karachi,Sedan,Manual,Diesel,1119004,Red,t,3
53,Kia,City,2012,2000,83720,Islamabad,Hatchback,Manual,Diesel,1552912,Blue,t,2
54,Kia,Mira,2008,2000,115783,Multan,MPV,Manual,Hybrid,1976254,Brown,t,2
55,Honda,Civic,2007,1500,61695,Karachi,SUV,Manual,CNG,1957127,Blue,t,1
56,Kia,City,2016,2000,191442,Lahore,Hatchback,Automatic,Petrol,1048910,Green,t,4
57,Daihatsu,Civic,2017,2000,70815,Islamabad,SUV,Manual,Petrol,639647,Black,t,4
58,Toyota,City,2017,1600,21519,Faisalabad,SUV,Automatic,Petrol,3437237,Green,t,4
60,Mitsubishi,Civic,2011,2000,141414,Karachi,MPV,Automatic,Hybrid,2048811,Brown,t,4
62,Suzuki,Civic,2015,1800,119364,Multan,Hatchback,Manual,CNG,2106639,Blue,t,3
63,Honda,Tucson,2013,1800,37152,Multan,Crossover,Automatic,CNG,2277066,Black,t,2
65,Daihatsu,Tucson,2018,660,68698,Peshawar,Pickup,Automatic,Hybrid,2670673,Silver,t,3
66,Daihatsu,Civic,2020,1600,53013,Peshawar,SUV,Automatic,Petrol,800105,Red,t,1
67,Kia,Tucson,2014,1500,53344,Karachi,Crossover,Manual,Diesel,1729828,Brown,t,4
69,Daihatsu,Tucson,2021,1600,111305,Islamabad,Sedan,Automatic,Hybrid,2601414,Silver,t,1
12,Toyota,City,2011,1800,,Lahore,MPV,Manual,Petrol,3023012,Black,t,3
32,Kia,Lancer,2012,1500,,Faisalabad,Pickup,Manual,CNG,3647972,Black,t,4
44,Suzuki,Cultus,2011,1600,,Lahore,Pickup,Manual,Hybrid,3016544,Green,t,2
8,Kia,Civic,2099,1000,166604,Karachi,MPV,Automatic,Hybrid,2004729,Black,t,3
4,Suzuki,Sportage,2023,2400,92090,Quetta,Pickup,Automatic,deisel,4925625,Grey,t,4
20,Kia,Lancer,1800,2000,118594,Multan,Sedan,Manual,Diesel,2291769,Grey,t,1
64,Kia,City,1800,2400,7538,Islamabad,Sedan,Manual,Petrol,2004351,Silver,t,2
19,Daihatsu,Lancer,1950,1500,197185,Lahore,Sedan,Manual,Petrol,-1885744,Blue,t,2
33,Honda,Tucson,2014,800,92580,Lahore,Hatchback,AUTO,Hybrid,698104,Blue,t,2
36,Suzuki,Cultus,2018,2000,11771,Multan,SUV,Manuall,Diesel,1939881,Grey,t,3
1,Hyundai,Alto,2023,1000,51867,,Hatchback,Automatic,Gas,1324397,Red,t,1
17,Suzuki,Alto,2005,1500,153092,Karachi,Crossover,autmatic,PETROL,1864257,Brown,t,2
71,Mitsubishi,City,2021,800,37173,Quetta,SUV,Manual,CNG,1902426,Grey,t,1
72,Mitsubishi,Sportage,2022,2000,115327,Peshawar,Pickup,Automatic,CNG,2754974,Silver,t,4
74,Hyundai,Civic,2016,660,5183,Faisalabad,Pickup,Manual,Hybrid,4908146,White,t,2
75,Suzuki,Tucson,2015,1300,111645,Multan,Hatchback,Automatic,Petrol,3080727,Red,t,4
77,Suzuki,Lancer,2018,1000,107863,Multan,Hatchback,Manual,CNG,4331970,Silver,t,3
79,Daihatsu,Tucson,2016,1500,30523,Quetta,Pickup,Manual,Hybrid,2193594,Silver,t,3
80,Suzuki,Mira,2018,2400,106155,Faisalabad,Pickup,Manual,Petrol,4319932,Red,t,2
81,Suzuki,Alto,2022,2000,171841,Multan,Hatchback,Automatic,Diesel,2364939,Brown,t,1
82,Hyundai,Lancer,2022,660,26579,Islamabad,MPV,Manual,Hybrid,1747083,Green,t,2
84,Kia,Alto,2010,800,111659,Peshawar,MPV,Automatic,CNG,4650244,Grey,t,3
85,Daihatsu,Mira,2015,1000,120067,Quetta,Hatchback,Automatic,CNG,2938875,Black,t,3
86,Hyundai,City,2008,1800,204696,Peshawar,Crossover,Manual,Diesel,4474790,Green,t,2
87,Mitsubishi,Tucson,2018,800,174016,Peshawar,Crossover,Automatic,Petrol,3503068,Grey,t,3
89,Mitsubishi,Tucson,2010,1600,127543,Peshawar,Sedan,Automatic,Diesel,1372459,Brown,t,4
90,Toyota,Lancer,2011,660,194123,Lahore,Crossover,Automatic,Hybrid,3695060,Silver,f,4
95,Mitsubishi,Lancer,2014,800,82754,Peshawar,Crossover,Automatic,Petrol,2087542,Silver,t,4
96,Mitsubishi,Lancer,2007,2400,148526,Faisalabad,MPV,Automatic,CNG,2173240,Silver,t,1
97,Kia,Alto,2011,800,81785,Peshawar,MPV,Automatic,Hybrid,1004692,Red,t,1
98,Mitsubishi,Cultus,2011,660,176098,Karachi,Crossover,Automatic,CNG,3511602,Red,t,4
102,Honda,Mira,2017,2400,161200,Karachi,Sedan,Manual,Hybrid,3973016,Black,t,1
104,Mitsubishi,Civic,2010,1300,147167,Lahore,MPV,Automatic,Hybrid,2850650,Green,t,1
105,Hyundai,Corolla,2010,1000,89824,Lahore,Sedan,Manual,Diesel,1643153,Black,t,4
106,Hyundai,Sportage,2021,1600,20282,Islamabad,Hatchback,Automatic,Hybrid,3306018,Green,t,1
107,Mitsubishi,Mira,2017,1500,194093,Multan,Crossover,Manual,Diesel,3692249,Silver,t,3
108,Hyundai,Cultus,2019,800,103535,Quetta,SUV,Manual,CNG,2283729,White,t,1
109,Hyundai,Tucson,2013,1600,159585,Karachi,Crossover,Manual,Petrol,867106,Brown,t,4
111,Toyota,Sportage,2014,800,166573,Peshawar,Pickup,Automatic,CNG,3161815,White,t,1
114,Suzuki,Tucson,2011,1800,139823,Faisalabad,Hatchback,Automatic,CNG,4845534,Silver,t,2
115,Honda,Civic,2008,1000,21862,Lahore,Crossover,Automatic,Petrol,2575988,Red,f,4
116,Mitsubishi,Tucson,2005,1500,166354,Peshawar,SUV,Manual,Hybrid,919970,Grey,t,1
117,Suzuki,Cultus,2010,1500,78843,Peshawar,SUV,Automatic,Diesel,2670506,Brown,t,3
118,Honda,Sportage,2018,2400,178782,Multan,Crossover,Manual,Petrol,1651835,Brown,t,2
119,Hyundai,Lancer,2021,1000,86791,Quetta,SUV,Automatic,Hybrid,3658307,Grey,t,3
120,Kia,Alto,2008,1800,55746,Quetta,SUV,Automatic,Petrol,2708224,Black,t,3
121,Kia,Civic,2015,1800,132316,Peshawar,Sedan,Automatic,Diesel,3071297,Red,t,1
124,Kia,Corolla,2009,800,155757,Multan,SUV,Manual,Hybrid,1794918,Green,t,3
125,Hyundai,Corolla,2019,2000,89551,Islamabad,SUV,Manual,CNG,3107028,Blue,f,4
126,Hyundai,Corolla,2022,800,127730,Islamabad,Crossover,Manual,CNG,3005225,White,t,1
127,Mitsubishi,Civic,2012,2000,61275,Lahore,SUV,Automatic,Petrol,1215766,Brown,t,3
128,Daihatsu,Alto,2012,1600,43366,Faisalabad,Sedan,Manual,CNG,892054,White,t,4
129,Mitsubishi,Civic,2010,1600,108785,Multan,Hatchback,Automatic,CNG,2696834,Black,t,3
130,Daihatsu,Corolla,2021,800,137770,Faisalabad,SUV,Automatic,Petrol,3520474,Blue,t,3
131,Mitsubishi,City,2023,2400,85837,Quetta,Crossover,Manual,Petrol,3106428,Green,t,4
134,Mitsubishi,Civic,2020,1300,150769,Faisalabad,Sedan,Manual,CNG,1256633,Red,t,3
135,Hyundai,Alto,2023,1800,159389,Multan,SUV,Automatic,Hybrid,2301460,Black,t,4
136,Hyundai,Mira,2017,2000,16336,Karachi,MPV,Manual,CNG,3666002,Green,t,1
137,Toyota,Lancer,2019,1300,11193,Lahore,Hatchback,Automatic,Petrol,4417946,Silver,t,4
138,Honda,Corolla,2021,660,187174,Peshawar,MPV,Automatic,CNG,4916534,Grey,t,3
76,Toyota,Lancer,2018,1500,166273,Islamabad,Crossover,AUTO,CNG,3219461,Green,t,1
101,Mitsubishi,Lancer,2023,1600,38556,Faisalabad,MPV,Automatic,Gazoline,2089305,Red,t,4
92,Kia,Civic,2012,1800,,Quetta,SUV,Automatic,CNG,4913774,Silver,t,2
93,Daihatsu,Tucson,2013,800,,Quetta,Crossover,Manual,Diesel,4092609,Black,t,4
139,Suzuki,City,2020,1800,54574,Islamabad,Crossover,Manual,Diesel,-3934700,Black,t,1
122,Kia,Alto,2023,800,149552,,Crossover,Manual,CNG,2468498,Black,t,1
123,Mitsubishi,Tucson,2014,1300,5312,,MPV,Automatic,Hybrid,4838074,Grey,t,4
132,Mitsubishi,Corolla,2015,2000,41554,,Pickup,Manual,Diesel,1235726,White,t,1
112,Mitsubishi,Corolla,1950,800,72346,Peshawar,Sedan,Manual,Diesel,3701919,Blue,t,3
83,Mitsubishi,Mira,2035,2000,50344,,SUV,Automatic,Diesel,2136171,Red,t,4
110,Kia,Cultus,2014,45674,47196,Peshawar,Hatchback,Automatic,CNG,3421943,Brown,t,4
73,Suzuki,Civic,2010,28836,,Multan,Hatchback,Automatic,Diesel,3668585,Grey,t,4
91,Hyundai,City,2009,1500,164993,Islamabad,Crossover,autmatic,CNG,687382,Blue,t,4
78,Suzuki,Corolla,2016,1300,,Quetta,SUV,autmatic,Diesel,4630149,Green,t,4
103,Toyota,Mira,1800,800,166552,Faisalabad,Hatchback,Manuall,Petrol,762586,Blue,f,3
140,Daihatsu,Mira,2023,660,145319,Karachi,Pickup,Automatic,Petrol,691600,Green,t,2
141,Honda,Mira,2009,1300,35196,Islamabad,Hatchback,Manual,CNG,1180694,Green,t,2
142,Kia,Mira,2011,1300,204822,Faisalabad,MPV,Manual,Diesel,3679290,Grey,t,4
143,Daihatsu,Sportage,2022,1600,102905,Multan,Sedan,Manual,Hybrid,3867641,Grey,t,4
144,Hyundai,Tucson,2019,1600,28786,Multan,Pickup,Manual,Petrol,1734642,Grey,t,2
145,Honda,Civic,2012,660,71957,Peshawar,Hatchback,Automatic,CNG,2465583,Black,t,1
147,Daihatsu,Cultus,2023,1600,81149,Islamabad,Hatchback,Manual,Hybrid,2576233,Blue,t,1
149,Mitsubishi,Sportage,2023,660,187383,Multan,Crossover,Automatic,Diesel,4440248,Blue,t,1
153,Hyundai,Tucson,2016,1300,151541,Faisalabad,Sedan,Manual,Diesel,1967385,Blue,t,1
154,Suzuki,Cultus,2013,1600,83260,Lahore,Sedan,Automatic,Hybrid,1821460,Silver,t,4
156,Honda,City,2011,2000,44413,Multan,Crossover,Manual,Diesel,1499890,Green,t,4
157,Daihatsu,Corolla,2008,1600,177397,Lahore,Hatchback,Manual,Petrol,2744459,Blue,t,3
160,Suzuki,Lancer,2019,800,194351,Islamabad,Pickup,Automatic,Diesel,4715609,Black,t,3
163,Hyundai,Alto,2016,1000,110331,Karachi,Pickup,Automatic,Hybrid,3890382,Grey,t,3
165,Kia,Civic,2005,1300,111105,Multan,Sedan,Manual,Diesel,566246,Blue,t,2
166,Daihatsu,Corolla,2005,1300,156760,Karachi,Pickup,Manual,Petrol,2295243,Black,t,4
169,Toyota,Cultus,2013,1300,82695,Faisalabad,Hatchback,Automatic,CNG,2508230,Grey,t,4
170,Suzuki,Lancer,2010,1800,146301,Quetta,SUV,Automatic,Hybrid,4047732,Green,t,4
171,Mitsubishi,Alto,2017,1300,155871,Faisalabad,SUV,Automatic,CNG,1199854,Green,t,4
